nome_associado;sobrenome_associado;idade_associado;vlr_transacao_movimento;des_transacao_movimento;data_movimento;numero_cartao;nome_impresso_cartao;tipo_conta;data_criacao_conta
João;Silva;35;59.90;Assinatura Digital;2026-09-22 07:30:00;4444666677778888;JOAO SILVA;CORRENTE;2024-01-10 10:00:00
João;Silva;35;45.90;Padaria;2026-09-03 07:40:00;1111222233334444;JOAO SILVA;CORRENTE;2024-01-10 10:00:00
João;Silva;35;89.50;Posto de Combustivel;2026-09-02 18:15:00;1111222233334444;JOAO SILVA;CORRENTE;2024-01-10 10:00:00
João;Silva;35;150.90;Supermercado;2026-09-01 10:30:00;1111222233334444;JOAO SILVA;CORRENTE;2024-01-10 10:00:00
João;Silva;35;18.50;Cafe;2026-09-04 09:20:00;5555666677778888;JOAO SILVA;POUPANCA;2024-02-15 14:30:00
João;Silva;35;250.00;Restaurante;2026-09-03 20:45:00;5555666677778888;JOAO SILVA;POUPANCA;2024-02-15 14:30:00
Maria;Oliveira;29;220.00;Farmacia;2026-09-05 11:05:00;9999000011112222;MARIA OLIVEIRA;CORRENTE;2024-03-20 09:15:00
Maria;Oliveira;29;1200.00;Loja de Eletronicos;2026-09-04 14:20:00;9999000011112222;MARIA OLIVEIRA;CORRENTE;2024-03-20 09:15:00
Maria;Oliveira;29;380.40;Mercado;2026-09-06 17:10:00;2222333344445555;MARIA OLIVEIRA;POUPANCA;2024-04-02 11:40:00
Carlos;Souza;42;320.00;Restaurante;2026-09-23 20:50:00;5555888899991111;CARLOS SOUZA;CORRENTE;2024-04-05 11:00:00
Carlos;Souza;42;980.00;Hotel;2026-09-07 22:15:00;3333444455556666;CARLOS SOUZA;CORRENTE;2024-04-05 11:00:00
Carlos;Souza;42;75.90;Farmacia;2026-09-05 09:10:00;3333444455556666;CARLOS SOUZA;CORRENTE;2024-04-05 11:00:00
Ana;Pereira;31;410.00;Loja Esportiva;2026-09-24 15:35:00;6666999900002222;ANA PEREIRA;CORRENTE;2024-05-01 08:20:00
Ana;Pereira;31;35.00;Aplicativo de Transporte;2026-09-09 08:45:00;4444555566667777;ANA PEREIRA;CORRENTE;2024-05-01 08:20:00
Ana;Pereira;31;210.35;Supermercado;2026-09-08 16:50:00;4444555566667777;ANA PEREIRA;CORRENTE;2024-05-01 08:20:00
Lucas;Ferreira;27;560.00;Loja de Roupas;2026-09-10 13:30:00;5555777788889999;LUCAS FERREIRA;POUPANCA;2024-05-18 15:10:00
Fernanda;Almeida;38;310.50;Academia;2026-09-12 18:30:00;6666888899990000;FERNANDA ALMEIDA;CORRENTE;2024-06-12 13:50:00
Fernanda;Almeida;38;99.90;Streaming;2026-09-11 20:00:00;6666888899990000;FERNANDA ALMEIDA;CORRENTE;2024-06-12 13:50:00
Rafael;Costa;45;67.20;Lanchonete;2026-09-13 12:20:00;7777999900001111;RAFAEL COSTA;CORRENTE;2024-07-08 10:30:00
Rafael;Costa;45;1450.00;Passagem Aerea;2026-09-13 09:15:00;7777999900001111;RAFAEL COSTA;CORRENTE;2024-07-08 10:30:00
Rafael;Costa;45;890.00;Moveis;2026-09-15 10:10:00;8888000011112222;RAFAEL COSTA;POUPANCA;2024-07-20 16:40:00
Rafael;Costa;45;420.00;Mercado;2026-09-14 19:45:00;8888000011112222;RAFAEL COSTA;POUPANCA;2024-07-20 16:40:00
Juliana;Rocha;33;78.90;Padaria;2026-09-16 17:20:00;9999111122223333;JULIANA ROCHA;CORRENTE;2024-08-03 09:00:00
Juliana;Rocha;33;155.75;Combustivel;2026-09-16 08:30:00;9999111122223333;JULIANA ROCHA;CORRENTE;2024-08-03 09:00:00
Bruno;Martins;40;28.50;Cafeteria;2026-09-25 08:15:00;7777000011113333;BRUNO MARTINS;CORRENTE;2024-08-28 17:25:00
Bruno;Martins;40;530.00;Eletrodomesticos;2026-09-18 14:45:00;1111333344445555;BRUNO MARTINS;CORRENTE;2024-08-28 17:25:00
Bruno;Martins;40;240.00;Cinema;2026-09-17 21:00:00;1111333344445555;BRUNO MARTINS;CORRENTE;2024-08-28 17:25:00
Patricia;Lima;36;840.00;Curso Online;2026-09-20 11:10:00;2222444455556666;PATRICIA LIMA;POUPANCA;2024-09-10 12:15:00
Patricia;Lima;36;62.40;Pet Shop;2026-09-19 16:00:00;2222444455556666;PATRICIA LIMA;POUPANCA;2024-09-10 12:15:00
Patricia;Lima;36;180.00;Supermercado;2026-09-21 18:20:00;3333555566667777;PATRICIA LIMA;CORRENTE;2024-09-22 18:00:00
